treat,res,rep,odm,lod,grate
A,N,1,740.3333333,6.607100535,1.087789595
A,N,2,562.3,6.332035515,1.171247153
A,N,3,657.5666667,6.488546153,1.191340681
B,N,1,621,6.431331082,1.142897631
B,N,2,612,6.416732283,1.138216417
B,N,3,633.3666667,6.451049507,1.204629034
BM,N,1,747.1666667,6.616288275,1.164458524
BM,N,2,565.1,6.337002707,1.154653986
BM,N,3,427.4,6.057720343,1.240219666
BMP,N,1,505.0333333,6.224624434,1.124208063
BMP,N,2,599.4666667,6.396040371,1.146449975
BMP,N,3,591.0666667,6.381928814,1.231537413
BMP,Y,1,463.1,6.137943013,1.080261353
BMP,Y,2,380.6,5.941748955,1.236400124
BMP,Y,3,476.7,6.166887362,1.223669724
BP,N,1,708.7,6.563432306,1.026204176
BP,N,2,715.7333333,6.573307658,0.826917747
BP,N,3,738.9666667,6.605252814,1.283853125
BP,Y,1,641.3333333,6.463549343,1.041036556
BP,Y,2,552.7333333,6.314875667,1.268046438
BP,Y,3,637,6.456769656,1.282636698
