rep,treat,m.grow,slope_lwr,slope_upr,res,treat2
A.C,A,1.087789595,0.788042744,1.387536447,N,A
B.C,B,1.142897631,0.871503296,1.414291965,N,B
BM.C,BM,1.164458524,1.008545859,1.320371189,N,BM
BMPR.C,BMPR,1.080261353,0.847499799,1.313022907,Y,BMP
BMPS.C,BMPS,1.124208063,0.74340924,1.505006886,N,BMP
BPR.C,BPR,1.041036556,0.821241918,1.260831194,Y,BP
BPS.C,BPS,1.026204176,0.831402721,1.221005632,N,BP
A.D,A,1.171247153,0.888014449,1.454479857,N,A
B.D,B,1.138216417,0.831736784,1.44469605,N,B
BM.D,BM,1.154653986,0.83950779,1.469800183,N,BM
BMPR.D,BMPR,1.236400124,1.132747021,1.340053227,Y,BMP
BMPS.D,BMPS,1.146449975,0.80506396,1.48783599,N,BMP
BPR.D,BPR,1.268046438,1.031291076,1.5048018,Y,BP
BPS.D,BPS,0.826917747,0.71347445,0.940361044,N,BP
A.E,A,1.191340681,0.912957218,1.469724143,N,A
B.E,B,1.204629034,1.045596204,1.363661865,N,B
BM.E,BM,1.240219666,1.008403241,1.47203609,N,BM
BMPR.E,BMPR,1.223669724,0.831725887,1.61561356,Y,BMP
BMPS.E,BMPS,1.231537413,0.940477205,1.52259762,N,BMP
BPR.E,BPR,1.282636698,0.98707162,1.578201777,Y,BP
BPS.E,BPS,1.283853125,0.944385087,1.623321164,N,BP
