well,od,time
A 1,0.0491,0.00
A 1,0.0490,1199.99
A 1,0.0480,2399.99
A 1,0.0485,3599.99
A 1,0.0474,4799.99
A 1,0.0487,5999.99
A 1,0.0486,7199.99
A 1,0.0474,8399.99
A 1,0.0481,9599.99
A 1,0.0483,10799.99
A 1,0.0484,11999.99
A 1,0.0480,13199.99
A 1,0.0481,14399.99
A 1,0.0481,15599.99
A 1,0.0483,16799.99
A 1,0.0467,17999.99
A 1,0.0472,19199.99
A 1,0.0478,20399.99
A 1,0.0473,21599.99
A 1,0.0483,22799.99
A 1,0.0470,23999.99
A 1,0.0472,25199.99
A 1,0.0471,26399.99
A 1,0.0468,27599.99
A 1,0.0465,28799.99
A 1,0.0463,29999.99
A 1,0.0469,31199.99
A 1,0.0465,32399.99
A 1,0.0465,33599.99
A 1,0.0462,34799.99
A 1,0.0454,35999.99
A 1,0.0459,37199.99
A 1,0.0469,38399.99
A 1,0.0457,39599.99
A 1,0.0453,40799.99
A 1,0.0459,41999.99
A 1,0.0444,43199.99
A 1,0.0444,44399.99
A 1,0.0448,45599.99
A 1,0.0437,46799.99
A 1,0.0432,47999.99
A 1,0.0438,49199.99
A 1,0.0433,50399.99
A 1,0.0426,51599.99
A 1,0.0417,52799.99
A 1,0.0425,53999.99
A 1,0.0406,55199.99
A 1,0.0421,56399.99
A 1,0.0409,57599.99
A 1,0.0397,58799.99
A 1,0.0395,59999.99
A 1,0.0404,61199.99
A 1,0.0407,62399.99
A 1,0.0397,63599.99
A 1,0.0396,64799.99
A 1,0.0405,65999.99
A 1,0.0404,67199.99
A 1,0.0413,68399.99
A 1,0.0422,69599.99
A 1,0.0401,70799.99
A 1,0.0414,71999.99
A 2,0.0504,0.02
A 2,0.0508,1200.01
A 2,0.0490,2400.01
A 2,0.0498,3600.01
A 2,0.0492,4800.01
A 2,0.0499,6000.01
A 2,0.0501,7200.01
A 2,0.0493,8400.01
A 2,0.0501,9600.01
A 2,0.0496,10800.01
A 2,0.0503,12000.01
A 2,0.0499,13200.01
A 2,0.0496,14400.01
A 2,0.0492,15600.01
A 2,0.0492,16800.01
A 2,0.0488,18000.01
A 2,0.0482,19200.01
A 2,0.0490,20400.01
A 2,0.0486,21600.01
A 2,0.0492,22800.01
A 2,0.0488,24000.01
A 2,0.0483,25200.01
A 2,0.0487,26400.01
A 2,0.0483,27600.01
A 2,0.0495,28800.01
A 2,0.0485,30000.01
A 2,0.0476,31200.01
A 2,0.0490,32400.01
A 2,0.0490,33600.01
A 2,0.0482,34800.01
A 2,0.0486,36000.01
A 2,0.0478,37200.01
A 2,0.0483,38400.01
A 2,0.0484,39600.01
A 2,0.0480,40800.01
A 2,0.0471,42000.01
A 2,0.0481,43200.01
A 2,0.0481,44400.01
A 2,0.0478,45600.01
A 2,0.0472,46800.01
A 2,0.0469,48000.01
A 2,0.0466,49200.01
A 2,0.0476,50400.01
A 2,0.0461,51600.01
A 2,0.0453,52800.01
A 2,0.0458,54000.01
A 2,0.0457,55200.01
A 2,0.0454,56400.01
A 2,0.0460,57600.01
A 2,0.0437,58800.01
A 2,0.0452,60000.01
A 2,0.0443,61200.01
A 2,0.0445,62400.01
A 2,0.0437,63600.01
A 2,0.0443,64800.01
A 2,0.0435,66000.01
A 2,0.0436,67200.01
A 2,0.0431,68400.01
A 2,0.0426,69600.01
A 2,0.0417,70800.01
A 2,0.0414,72000.01
A 3,0.0500,0.03
A 3,0.0494,1200.03
A 3,0.0486,2400.03
A 3,0.0484,3600.03
A 3,0.0477,4800.03
A 3,0.0483,6000.03
A 3,0.0485,7200.03
A 3,0.0489,8400.03
A 3,0.0483,9600.03
A 3,0.0488,10800.03
A 3,0.0493,12000.03
A 3,0.0479,13200.03
A 3,0.0482,14400.03
A 3,0.0484,15600.03
A 3,0.0476,16800.03
A 3,0.0479,18000.03
A 3,0.0471,19200.03
A 3,0.0479,20400.03
A 3,0.0475,21600.03
A 3,0.0483,22800.03
A 3,0.0471,24000.03
A 3,0.0463,25200.03
A 3,0.0481,26400.03
A 3,0.0468,27600.03
A 3,0.0477,28800.03
A 3,0.0478,30000.03
A 3,0.0469,31200.03
A 3,0.0465,32400.03
A 3,0.0471,33600.03
A 3,0.0465,34800.03
A 3,0.0472,36000.03
A 3,0.0472,37200.03
A 3,0.0464,38400.03
A 3,0.0472,39600.03
A 3,0.0469,40800.03
A 3,0.0467,42000.03
A 3,0.0460,43200.03
A 3,0.0462,44400.03
A 3,0.0453,45600.03
A 3,0.0466,46800.03
A 3,0.0454,48000.03
A 3,0.0456,49200.03
A 3,0.0457,50400.03
A 3,0.0452,51600.03
A 3,0.0453,52800.03
A 3,0.0452,54000.03
A 3,0.0439,55200.03
A 3,0.0451,56400.03
A 3,0.0448,57600.03
A 3,0.0450,58800.03
A 3,0.0447,60000.03
A 3,0.0441,61200.03
A 3,0.0438,62400.03
A 3,0.0437,63600.03
A 3,0.0442,64800.03
A 3,0.0440,66000.03
A 3,0.0434,67200.03
A 3,0.0428,68400.03
A 3,0.0435,69600.03
A 3,0.0423,70800.03
A 3,0.0420,72000.03
A 4,0.0482,0.05
A 4,0.0496,1200.04
A 4,0.0487,2400.04
A 4,0.0487,3600.04
A 4,0.0485,4800.04
A 4,0.0496,6000.04
A 4,0.0491,7200.04
A 4,0.0488,8400.04
A 4,0.0489,9600.04
A 4,0.0485,10800.04
A 4,0.0489,12000.04
A 4,0.0486,13200.04
A 4,0.0488,14400.04
A 4,0.0491,15600.04
A 4,0.0484,16800.04
A 4,0.0473,18000.04
A 4,0.0479,19200.04
A 4,0.0487,20400.04
A 4,0.0481,21600.04
A 4,0.0485,22800.04
A 4,0.0479,24000.04
A 4,0.0469,25200.04
A 4,0.0478,26400.04
A 4,0.0483,27600.04
A 4,0.0478,28800.04
A 4,0.0478,30000.04
A 4,0.0468,31200.04
A 4,0.0478,32400.04
A 4,0.0480,33600.04
A 4,0.0474,34800.04
A 4,0.0467,36000.04
A 4,0.0470,37200.04
A 4,0.0476,38400.04
A 4,0.0481,39600.04
A 4,0.0465,40800.04
A 4,0.0476,42000.04
A 4,0.0463,43200.04
A 4,0.0474,44400.04
A 4,0.0469,45600.04
A 4,0.0468,46800.04
A 4,0.0466,48000.04
A 4,0.0461,49200.04
A 4,0.0466,50400.04
A 4,0.0459,51600.04
A 4,0.0455,52800.04
A 4,0.0463,54000.04
A 4,0.0458,55200.04
A 4,0.0455,56400.04
A 4,0.0461,57600.04
A 4,0.0452,58800.04
A 4,0.0453,60000.04
A 4,0.0442,61200.04
A 4,0.0443,62400.04
A 4,0.0440,63600.04
A 4,0.0440,64800.04
A 4,0.0442,66000.04
A 4,0.0435,67200.04
A 4,0.0439,68400.04
A 4,0.0425,69600.04
A 4,0.0423,70800.04
A 4,0.0425,72000.04
A 5,0.0495,0.07
A 5,0.0485,1200.06
A 5,0.0477,2400.06
A 5,0.0474,3600.06
A 5,0.0463,4800.06
A 5,0.0483,6000.06
A 5,0.0488,7200.06
