treat,res,rep,run,od,black_avg
B,N,1,1,501.7,85.34
B,N,2,1,502.3,85.34
B,N,3,1,444.4,85.34
BM,N,1,1,281.9,85.34
BM,N,2,1,350.7,85.34
BM,N,3,1,317.6,85.34
BP,Y,1,1,405,85.34
BP,Y,2,1,405.8,85.34
BP,Y,3,1,540.6,85.34
BP,N,1,1,543.6,85.34
BP,N,2,1,904.9,85.34
BP,N,3,1,579.2,85.34
BMP,Y,1,1,364.5,85.34
BMP,Y,2,1,284.8,85.34
BMP,Y,3,1,365.5,85.34
BMP,N,1,1,365.9,85.34
BMP,N,2,1,472.4,85.34
BMP,N,3,1,470.1,85.34
A,N,1,1,788.4,85.34
A,N,2,1,719,85.34
A,N,3,1,654.9,85.34
B,N,1,2,501.8,78.3
B,N,2,2,307.7,78.3
B,N,3,2,175.7,78.3
BM,N,1,2,436.6,78.3
BM,N,2,2,288.6,78.3
BM,N,3,2,210.1,78.3
BP,Y,1,2,361,78.3
BP,Y,2,2,387.9,78.3
BP,Y,3,2,228.4,78.3
BP,N,1,2,416.5,78.3
BP,N,2,2,514.8,78.3
BP,N,3,2,287.7,78.3
BMP,Y,1,2,244.6,78.3
BMP,Y,2,2,217.4,78.3
BMP,Y,3,2,256.3,78.3
BMP,N,1,2,366,78.3
BMP,N,2,2,396.1,78.3
BMP,N,3,2,350.2,78.3
A,N,1,2,341.6,78.3
A,N,2,2,343.1,78.3
A,N,3,2,135.8,78.3
B,N,1,3,859.5,76.8
B,N,2,3,1026,76.8
B,N,3,3,1280,76.8
BM,N,1,3,1523,76.8
BM,N,2,3,1056,76.8
BM,N,3,3,754.5,76.8
BP,Y,1,3,1158,76.8
BP,Y,2,3,864.5,76.8
BP,Y,3,3,1142,76.8
BP,N,1,3,1166,76.8
BP,N,2,3,727.5,76.8
BP,N,3,3,1350,76.8
BMP,Y,1,3,780.2,76.8
BMP,Y,2,3,639.6,76.8
BMP,Y,3,3,808.3,76.8
BMP,N,1,3,783.2,76.8
BMP,N,2,3,929.9,76.8
BMP,N,3,3,952.9,76.8
A,N,1,3,1091,76.8
A,N,2,3,624.8,76.8
A,N,3,3,1182,76.8
