sample,macrophage,time,phage,perc,p_a,n_reads,n_tot,n_var
BMP1T2,Y,T2,14_1,99.2,1,170356444,171737449,2
BMP1T6,Y,T6,14_1,98.94,1,166964057,168748466,5
BMP2T2,Y,T2,14_1,99.33,1,175197605,176384035,3
BMP2T6,Y,T6,14_1,99.01,1,156728125,158294290,4
BMP3T2,Y,T2,14_1,99.49,1,153596858,154389520,4
BMP3T6,Y,T6,14_1,62.49,1,89418859,143091537,7
BMP4T2,Y,T2,14_1,53.42,1,82916329,155215354,2
BMP4T6,Y,T6,14_1,98.84,1,138774106,140407255,7
BMP5T2,Y,T2,14_1,99.39,1,198320283,199538564,3
BMP5T6,Y,T6,14_1,86.53,1,154282004,178296035,6
BMP6T2,Y,T2,14_1,89.59,1,175430463,195808911,3
BMP6T6,Y,T6,14_1,98.81,1,164516887,166496647,7
BP1T2,N,T2,14_1,75.34,1,138657857,184035638,3
BP1T6,N,T6,14_1,65.07,1,126125044,193835002,5
BP2T2,N,T2,14_1,62.4,1,124689820,199813279,4
BP2T6,N,T6,14_1,32.76,1,63365487,193451143,3
BP3T2,N,T2,14_1,75.98,1,151502067,199386790,3
BP3T6,N,T6,14_1,88.06,1,169414654,192375471,6
BP4T2,N,T2,14_1,99.47,1,167677920,168576022,3
BP4T6,N,T6,14_1,98.34,1,203382163,206808160,4
BP5T2,N,T2,14_1,99.57,1,216243071,217175685,3
BP5T6,N,T6,14_1,99.31,1,204447354,205868269,5
BP6T2,N,T2,14_1,99.45,1,183178694,184184141,3
BP6T6,N,T6,14_1,46.48,1,104582441,225016338,4
BMP1T2,Y,T2,pnm,0,0,47,170350834,0
BMP1T6,Y,T6,pnm,0,0,173,167226162,0
BMP2T2,Y,T2,pnm,0,0,120,175353740,0
BMP2T6,Y,T6,pnm,0,0,39,157303424,0
BMP3T2,Y,T2,pnm,0,0,84,153513536,0
BMP3T6,Y,T6,pnm,37.19,1,53162246,142933965,2
BMP4T2,Y,T2,pnm,46.6,1,72240589,155008093,2
BMP4T6,Y,T6,pnm,0,0,151,138755836,0
BMP5T2,Y,T2,pnm,0,0,198,198352984,0
BMP5T6,Y,T6,pnm,0,0,137,177503468,0
BMP6T2,Y,T2,pnm,0,0,84,194970992,0
BMP6T6,Y,T6,pnm,0,0,158,165268898,0
BP1T2,N,T2,pnm,24.04,1,44054357,183253727,2
BP1T6,N,T6,pnm,34.68,1,67150531,193631839,2
BP2T2,N,T2,pnm,37.33,1,74475917,199526824,2
BP2T6,N,T6,pnm,66.97,1,129631326,193564481,2
BP3T2,N,T2,pnm,23.63,1,47038166,199048265,2
BP3T6,N,T6,pnm,0,0,212,191779880,0
BP4T2,N,T2,pnm,0,0,75,167938732,0
BP4T6,N,T6,pnm,1.21,1,2496833,206144783,2
BP5T2,N,T2,pnm,0,0,87,216294702,0
BP5T6,N,T6,pnm,0,0,139,205126160,0
BP6T2,N,T2,pnm,0,0,53,183506650,0
BP6T6,N,T6,pnm,53.3,1,119968703,225064091,2
